station, code
Agropoli, AGR
Ancona, FF_
Bari, BAC
Barletta, BLT
Benevento, BEN
Bergamo, BGM
Bisceglie, BIG
Bologna, BC_
Bolzano, BLZ
Brescia, BSC
Caserta, CEA
Conegliano, CON
Desenzano, DSG
Ferrara, F__
Firenze Santa Maria Novella, SMN
Foggia, FG_
Genova, G__
Genova Brignole, GB_
Genova Piazza Principe, G__
Lamezia Terme Centrale, LON
Latisana Lignano Bibione, LTL
Maratea, MRT
Milano Centrale, MC_
Milano Rho Fiera, RRO
Milano Rogoredo, RG_
Molfetta, ML_
Monfalcone, MNF
Napoli Afragola, NAF
Napoli Centrale, NAC
Padova, PD_
Paola, PAR
Pesaro, PY_
Peschiera, PSY
Pisa, 22187
Pordenone, PNE
Portogruaro Caorle, PGR
Reggio Calabria, RCE
Reggio Emilia Av, AAV
Riccione, RO_
Rimini, J__
Roma Termini, RMT
Roma Tiburtina, RTB
Rosarno, RUT
Rovereto, RVR
Rovigo, R__
Salerno, SAL
Sapri, SRI
Scalea, SDC
Torino Porta Nuova, TOP
Torino Porta Susa, OUE
Trani, TR_
Trento, TCN
Treviso Centrale, TVC
Trieste, TSC
Udine, UDN
Vallo Lucania, VLH
Venezia Mestre, VEM
Venezia Santa Lucia, VSL
Verona Porta Nuova, VPN
Vibo Pizzo, VIP
Vicenza, VIC
Villa San Giovanni, VSG
